ID,Mag B,Mag V,Mag R,Mag I
2,10.925,10.28,10.03,9.53
17,10.043,9.556,9.06,8.945
19,11.114,10.461,10.08,9.72
22,10.375,9.858,9.74,9.241
32,13.34,12.38,12.21,11.295
33,9.725,9.223,8.78,8.614
35,10.607,10.065,9.81,9.42
37,11.128,10.51,10.26,9.794
40,10.941,10.34,9.93,9.638
42,10.447,9.93,9.55,9.294
45,10.892,10.261,9.91,9.509
46,10.073,9.573,9.45,9.021
48,13.16,12.19,11.86,11.015
53,10.621,10.064,9.72,9.373
56,10.371,9.841,9.38,9.213
57,10.968,10.345,10,9.6
59,9.9,9.46,9.01,8.9
63,12.443,11.49,11.29,10.396
65,11.2,10.7,9.9,9.68
68,12.172,11.364,11.21,10.419
70,11.06,10.406,10.33,9.605
113,5.42,5.46,5.42,5.47
116,3.59,3.7,3.71,3.8
117,13.468,12.436,12.26,11.291
120,9.946,9.449,9.05,8.88
121,9.912,9.449,8.91,8.832
128,5.57,5.64,5.61,5.68
129,10.536,9.987,9.59,9.329
130,4.19,4.3,4.3,4.4
144,10.73,11.92,10.04,9.37
146,13.52,12.41,11.99,10.83
149,9.97,9.45,9.31,8.79
150,12.08,11.36,11.15,10.42
156,3.8,3.87,3.85,3.9
158,5.72,5.76,5.71,5.74
164,13.82,12.76,12.66,11.59
165,14.14,13.02,13.07,11.75
166,13.15,12.17,11.86,10.87
172,8.91,8.8,8.72,7.57
178,7.44,7.34,7.28,7.23
181,11.85,11.1,10.5,10.26
182,8.44,8.09,7.79,7.49
184,13.36,12.32,11.96,10.97
187,9.93,9.43,8.96,8.84
189,14.62,13.39,13.32,11.89
192,9.91,9.4,8.97,8.83
211,13.92,12.81,12.43,11.33
213,10.365,9.826,9.38,9.153
217,7.89,7.71,7.5,7.45
220,2.78,2.87,2.84,2.88
233,9.86,9.43,9.32,8.64
236,9.62,9.21,8.7,8.55
242,5.38,5.45,5.42,5.48
247,9.54,9.05,9.16,8.45
254,11.63,10.803,9.8,9.831
255,3.54,3.63,3.62,3.68
258,11.2,10.6,9.88,9.74
271,12.35,11.53,10.88,10.63
275,13.39,12.29,11.39,11.17
277,12.45,11.61,11.44,10.63
278,10.086,9.579,9.11,8.945
282,6.82,6.81,6.3,6.74
295,12.43,11.48,10.99,10.47
302,9.24,8.84,8.49,8.4
304,13.15,12.15,12.3,11.06
313,11.104,10.476,9.91,9.727
314,13.57,11.41,11.89,10.77
321,9.9,9.48,9.01,8.7
324,12.808,11.899,11.16,10.759
347,9.831,9.38,9.04,8.802
370,10.269,9.726,9.34,8.986